"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BANCOINDIA","Banco Products (I) Limited","EQ","Interim Dividend - Rs 8 Per Share","2","18-Mar-2026","19-Mar-2026","-","-"
"MIDHANI","Mishra Dhatu Nigam Limited","EQ","Interim Dividend - Re 0.85 Per Share","10","18-Mar-2026","19-Mar-2026","-","-"
"788GS2030","GOVERNMENT OF INDIA","GS","Interest Payment","100","18-Mar-2026","18-Mar-2026","-","-"
"759GS2029","GOVERNMENT OF INDIA","GS","Interest Payment","100","18-Mar-2026","18-Mar-2026","-","-"
"828GS2027","GOVERNMENT OF INDIA","GS","Interest Payment","100","20-Mar-2026","20-Mar-2026","-","-"
"METROPOLIS","Metropolis Healthcare Limited","EQ","Bonus 3:1","2","20-Mar-2026","20-Mar-2026","-","-"
"NHIT","National Highways Infra Trust","IV","Distribution - Rs 1.160 Per Unit Consists Of Re 1.157 Per Unit As Interest And Re 0.003 Per Unit As Other Income","101","20-Mar-2026","20-Mar-2026","-","-"
"833GS2032","GOVERNMENT OF INDIA","GS","Interest Payment","100","20-Mar-2026","20-Mar-2026","-","-"
"RECLTD","REC Limited","EQ","Interim Dividend - Rs 3.20 Per Share","10","20-Mar-2026","20-Mar-2026","-","-"
"MAHAPEXLTD","Maha Rashtra Apex Corporation Limited","EQ","Rights 1:1 @ Premium Rs 0/-","10","20-Mar-2026","20-Mar-2026","-","-"
"TIL","TIL Limited","EQ","Rights 11:64 @ Premium Rs 155/-","10","23-Mar-2026","23-Mar-2026","-","-"
"INDIAGLYCO","India Glycols Limited","EQ","Interim Dividend - Rs 7.50 Per Share","5","23-Mar-2026","23-Mar-2026","-","-"
"PFC","Power Finance Corporation Limited","EQ","Interim Dividend - Rs 3.25 Per Share","10","23-Mar-2026","23-Mar-2026","-","-"
"CASTROLIND","Castrol India Limited","EQ","Dividend - Rs 5.25 Per Share","5","23-Mar-2026","23-Mar-2026","-","-"
"KILITCH","Kilitch Drugs (India) Limited","EQ","Bonus 1:1","10","24-Mar-2026","24-Mar-2026","-","-"
"601GS2028","GOVERNMENT OF INDIA","GS","Interest Payment","100","24-Mar-2026","24-Mar-2026","-","-"
"V2RETAIL","V2 Retail Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share","10","25-Mar-2026","26-Mar-2026","-","-"
