"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"717GS2028","GOVERNMENT OF INDIA","GS"," Interest Payment","100","06-Jan-2020","07-Jan-2020","-","-"
"833GS2026","GOVERNMENT OF INDIA","GS"," Interest Payment","100","07-Jan-2020","08-Jan-2020","-","-"
"RITES","RITES Limited","EQ"," Interim Dividend-Rs 6 Per Share","10","09-Jan-2020","10-Jan-2020","-","-"
"759GS2026","GOVERNMENT OF INDIA","GS"," Interest Payment","100","09-Jan-2020","10-Jan-2020","-","-"
"726GS2029","GOVERNMENT OF INDIA","GS"," Interest Payment","100","10-Jan-2020","13-Jan-2020","-","-"
"617GS2021","GOVERNMENT OF INDIA","GS"," Interest Payment","100","13-Jan-2020","14-Jan-2020","-","-"
"JVLAGRO","JVL Agro Industries Limited","EQ"," Annual General Meeting","1","14-Jan-2020","-","16-Jan-2020","21-Jan-2020"
"SIS","SIS LIMITED","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share","5","15-Jan-2020","16-Jan-2020","-","-"
"683GS2039","GOVERNMENT OF INDIA","GS"," Interest Payment","100","16-Jan-2020","18-Jan-2020","-","-"
"700GS2021","GOI LOAN 7.00% 2021","GS"," Interest Payment","100","17-Jan-2020","20-Jan-2020","-","-"
"SUVEN","Suven Life Sciences Limited","EQ"," Demerger","1","21-Jan-2020","22-Jan-2020","-","-"
"DELTACORP","Delta Corp Limited","EQ"," Interim Dividend - Rs 0.75 Per Share","1","22-Jan-2020","23-Jan-2020","-","-"
"TCS","Tata Consultancy Services Limited","EQ"," Interim Dividend - Rs 5 Per Share","1","23-Jan-2020","25-Jan-2020","-","-"
"ASTERDM","Aster DM Healthcare Limited","EQ"," Buy Back","10","23-Jan-2020","24-Jan-2020","-","-"
"VALUEIND","Value Industries Limited","EQ"," Annual General Meeting","10","24-Jan-2020","-","28-Jan-2020","04-Feb-2020"
"WIPRO","Wipro Limited","EQ"," Interim Dividend - Re 1 Per Share","2","24-Jan-2020","27-Jan-2020","-","-"
"84GS2024","GOVERNMENT OF INDIA","GS"," Interest Payment","100","24-Jan-2020","27-Jan-2020","-","-"
"732GS2024","GOVERNMENT OF INDIA","GS"," Interest Payment","100","24-Jan-2020","27-Jan-2020","-","-"
"HCLTECH","HCL Technologies Limited","EQ"," Interim Dividend - Rs 2 Per Share","2","24-Jan-2020","27-Jan-2020","-","-"
"INDIGRID","IndiGrid Infrastructure Trust","IV"," Distribution","100","27-Jan-2020","28-Jan-2020","-","-"
"360ONE","360 ONE WAM LIMITED","EQ"," Interim Dividend- Rs 10 Per Share","1","29-Jan-2020","30-Jan-2020","-","-"
"PRATIBHA","Pratibha Industries Limited","EQ"," Annual General Meeting","2","30-Jan-2020","-","03-Feb-2020","10-Feb-2020"
"826GS2027","GOVERNMENT OF INDIA","GS"," Interest Payment","100","30-Jan-2020","01-Feb-2020","-","-"
"808GS2022","GOVERNMENT OF INDIA","GS"," Interest Payment","100","30-Jan-2020","01-Feb-2020","-","-"
"GRANULES","Granules India Limited","EQ"," Interim Dividend - Re 0.25 Per Share","1","30-Jan-2020","31-Jan-2020","-","-"
"832GS2032","GOVERNMENT OF INDIA","GS"," Interest Payment","100","30-Jan-2020","01-Feb-2020","-","-"
"GMMPFAUDLR","GMM Pfaudler Limited","EQ"," Interim Dividend - Re 1 Per Share","2","30-Jan-2020","31-Jan-2020","-","-"
"MOTILALOFS","Motilal Oswal Financial Services Limited","EQ"," Interim Dividend-Rs 4 Per Share","1","31-Jan-2020","03-Feb-2020","-","-"
"SHARDACROP","Sharda Cropchem Limited","EQ"," Interim Dividend Rs 2 Per Share","10","31-Jan-2020","03-Feb-2020","-","-"
"TCIEXP","TCI Express Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","2","03-Feb-2020","04-Feb-2020","-","-"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","03-Feb-2020","04-Feb-2020","-","-"
"DBCORP","D.B.Corp Limited","EQ"," Interim Dividend Rs 3.5 Per Share","10","03-Feb-2020","04-Feb-2020","-","-"
"RBL","Rane Brake Lining Limited","EQ"," Interim Dividend - Rs 6 Per Share","10","03-Feb-2020","04-Feb-2020","-","-"
"SIEMENS","Siemens Limited","EQ"," Dividend - Rs 7 Per Share","2","03-Feb-2020","-","05-Feb-2020","11-Feb-2020"
"CONTROLPR","Control Print Limited","EQ"," Interim Dividend Rs 3.5 Per Share","10","04-Feb-2020","05-Feb-2020","-","-"
"SHRIPISTON","Shriram Pistons & Rings Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","05-Feb-2020","06-Feb-2020","-","-"
"ACCELYA","Accelya Solutions India Limited","EQ"," Interim Dividend - Rs 10 Per Share","10","05-Feb-2020","06-Feb-2020","-","-"
