"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HUDCO","Housing & Urban Development Corporation Limited","EQ","Interim Dividend - Rs 1.25 Per Share","10","27-Mar-2026","28-Mar-2026","-","-"
"ANGELONE","Angel One Limited","EQ","Interim Dividend - Rs  1.75 Per Share","1","27-Mar-2026","27-Mar-2026","-","-"
"SHREMINVIT","Shrem Invit","IV","Distribution - Rs 3.6078 Per Unit Consists Of Rs 3.6078 Per Unit As Dividend","100","27-Mar-2026","28-Mar-2026","-","-"
"MOTHERSON","Samvardhana Motherson International Limited","EQ","Interim Dividend - Re 0.35 Per Share","1","27-Mar-2026","27-Mar-2026","-","-"
"VEDL","Vedanta Limited","EQ","Interim Dividend - Rs 11 Per Share","1","27-Mar-2026","28-Mar-2026","-","-"
"EUROPRATIK","Euro Pratik Sales Limited","EQ","Interim Dividend - Re 0.20 Per Share","1","27-Mar-2026","27-Mar-2026","-","-"
"HIRECT","Hind Rectifiers Limited","EQ","Bonus 1:1","2","27-Mar-2026","27-Mar-2026","-","-"
"92GS2030","GOVERNMENT OF INDIA","GS","Interest Payment","100","30-Mar-2026","30-Mar-2026","-","-"
"IRB","IRB Infrastructure Developers Limited","EQ","Bonus 1:1","1","30-Mar-2026","01-Apr-2026","-","-"
"TVSMOTOR","TVS Motor Company Limited","EQ","Interim Dividend - Rs 12 Per Share","1","30-Mar-2026","31-Mar-2026","-","-"
"CHENNPETRO","Chennai Petroleum Corporation Limited","EQ","Interim Dividend - Rs 8 Per Share","10","02-Apr-2026","02-Apr-2026","-","-"
"RNBDENIMS","R&B Denims Limited","EQ","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share","1","02-Apr-2026","03-Apr-2026","-","-"
"RNBDENIMS","R&B Denims Limited","EQ","Bonus 1:2","1","02-Apr-2026","03-Apr-2026","-","-"
"ASTERDM","Aster DM Healthcare Limited","EQ","Interim Dividend - Rs 3 Per Share","10","02-Apr-2026","03-Apr-2026","-","-"
"SUNCLAY","Sundaram Clayton Limited","EQ","Interim Dividend - Rs  4.50 Per Share","5","02-Apr-2026","03-Apr-2026","-","-"
"TVSHLTD","TVS Holdings Limited","EQ","Interim Dividend - Rs 86 Per Share","5","02-Apr-2026","02-Apr-2026","-","-"
"IREDA","Indian Renewable Energy Development Agency Limited","EQ","Interim Dividend - Re 0.60 Per Share","10","02-Apr-2026","02-Apr-2026","-","-"
"CRISIL","CRISIL Limited","EQ","Dividend - Rs 28 Per Share","1","02-Apr-2026","03-Apr-2026","-","-"
