"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CHENNPETRO","Chennai Petroleum Corporation Limited","EQ","Interim Dividend - Rs 8 Per Share","10","02-Apr-2026","02-Apr-2026","-","-"
"RNBDENIMS","R&B Denims Limited","EQ","Bonus 1:2","1","02-Apr-2026","03-Apr-2026","-","-"
"RNBDENIMS","R&B Denims Limited","EQ","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share","1","02-Apr-2026","03-Apr-2026","-","-"
"TVSHLTD","TVS Holdings Limited","EQ","Interim Dividend - Rs 86 Per Share","5","02-Apr-2026","02-Apr-2026","-","-"
"ASTERDM","Aster DM Healthcare Limited","EQ","Interim Dividend - Rs 3 Per Share","10","02-Apr-2026","03-Apr-2026","-","-"
"SUNCLAY","Sundaram Clayton Limited","EQ","Interim Dividend - Rs  4.50 Per Share","5","02-Apr-2026","03-Apr-2026","-","-"
"CRISIL","CRISIL Limited","EQ","Dividend - Rs 28 Per Share","1","02-Apr-2026","03-Apr-2026","-","-"
"IREDA","Indian Renewable Energy Development Agency Limited","EQ","Interim Dividend - Re 0.60 Per Share","10","02-Apr-2026","02-Apr-2026","-","-"
"727GS2026","GOVERNMENT OF INDIA","GS","Interest Payment","100","07-Apr-2026","07-Apr-2026","-","-"
"VBL","Varun Beverages Limited","EQ","Dividend - Re 0.50 Per Share","2","08-Apr-2026","08-Apr-2026","-","-"
"706GS2046","GOVERNMENT OF INDIA","GS","Interest Payment","100","09-Apr-2026","09-Apr-2026","-","-"
