"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"LITL","Lanco Infratech Limited","EQ","Fv Split Rs.10 To Re.1","1","04-Jan-2010","05-Jan-2010","-","-"
"RECLTD","REC Limited","EQ","Int Div-Rs.3/- Per Share Purpose Revised","10","04-Jan-2010","05-Jan-2010","-","-"
"BBOX","Black Box Limited","EQ","Agm/Div-Rs.3.50 Per Share","2","04-Jan-2010","-","06-Jan-2010","29-Jan-2010"
"POWERGRID","Power Grid Corporation of India Limited","EQ","Int Div-Re.0.50 Per Sharepurpose Revised","10","11-Jan-2010","12-Jan-2010","-","-"
"AUTOAXLES","Automotive Axles Limited","EQ","Fin Div-Rs.2.70 Per Share","10","11-Jan-2010","-","13-Jan-2010","15-Jan-2010"
"BALRAMCHIN","Balrampur Chini Mills Limited","EQ","Agm/Div-Rs.3/- Per Share","1","12-Jan-2010","-","14-Jan-2010","29-Jan-2010"
"WALCHANNAG","Walchandnagar Industries Limited","EQ","Dividend-Re.1/- Per Share","2","12-Jan-2010","-","14-Jan-2010","20-Jan-2010"
"BANSWRAS","Banswara Syntex Limited","EQ","Int Div-Rs.1.50 Per Share","5","14-Jan-2010","15-Jan-2010","-","-"
"RELIGARE","Religare Enterprises Limited","EQ","Rights 2:3@Prem Rs.345/-","10","15-Jan-2010","18-Jan-2010","-","-"
"MASTEK","Mastek Limited","EQ","Int Div-Rs.2/- Per Share Purpose Revised","5","15-Jan-2010","18-Jan-2010","-","-"
"SUPREMEIND","Supreme Industries Limited","EQ","Int Div-Rs.5/- Per Share Purpose Revised","2","18-Jan-2010","19-Jan-2010","-","-"
"SIEMENS","Siemens Limited","EQ","Dividend-Rs.5/- Per Share","2","19-Jan-2010","-","21-Jan-2010","29-Jan-2010"
"RML","Rane (Madras) Limited","EQ","Int Div-Rs.2.50 Per Sharepurpose Revised","10","21-Jan-2010","23-Jan-2010","-","-"
"SHPRE","Shree Precoated Steels Limited","EQ","Annual General Meeting","10","21-Jan-2010","-","23-Jan-2010","30-Jan-2010"
"SEINVEST","S.E. Investments Limited","EQ","Int Div-Re.1/- Per Share Purpose Revised","1","21-Jan-2010","22-Jan-2010","-","-"
"NECLIFE","Nectar Lifesciences Limited","EQ","Int Div-Re.0.25 Per Sharepurpose Revised","1","21-Jan-2010","22-Jan-2010","-","-"
"WINSOMYARN","Winsome Yarns Limited","EQ","Fv Split Rs.10 To Re.1","1","21-Jan-2010","22-Jan-2010","-","-"
"IIFL","IIFL Finance Limited","EQ","2nd Int Div-Rs.1.80 Pr Shpurpose Revised","2","25-Jan-2010","27-Jan-2010","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Int Div-Rs.5/- Per Share Purpose Revised","10","25-Jan-2010","27-Jan-2010","-","-"
"TVSMOTOR","TVS Motor Company Limited","EQ","Int Div-Re.0.70 Per Sharepurpose Revised","1","25-Jan-2010","27-Jan-2010","-","-"
"IPCALAB","IPCA Laboratories Limited","EQ","2nd Int Div-Rs.4/- Pr Shrpurpose Revised","1","27-Jan-2010","28-Jan-2010","-","-"
"BIRLANU","BirlaNu Limited","EQ","Int Div-Rs.6/- Per Share","10","27-Jan-2010","28-Jan-2010","-","-"
"TCS","Tata Consultancy Services Limited","EQ","3rd Int Div-Rs.2/- Pr Shr","1","27-Jan-2010","28-Jan-2010","-","-"
"RANEENGINE","Rane Engine Valve Limited","EQ","Int Div-Rs.1.50 Per Sharepurpose Revised","10","28-Jan-2010","29-Jan-2010","-","-"
"SUNTV","Sun TV Network Limited","EQ","Int Div-Rs.1.50 Per Sharepurpose Revised","5","28-Jan-2010","29-Jan-2010","-","-"
"GANDHITUBE","Gandhi Special Tubes Limited","EQ","Div-Int Re 2.5+Spl Re 2.5purpose Revised","5","28-Jan-2010","29-Jan-2010","-","-"
"PRAJIND","Praj Industries Limited","EQ","Int Div-Rs.1.44 Per Sharepurpose Revised","2","28-Jan-2010","29-Jan-2010","-","-"
"RBL","Rane Brake Lining Limited","EQ","Int Div-Rs.3/- Per Share Purpose Revised","10","28-Jan-2010","29-Jan-2010","-","-"
"BAJAJELEC","Bajaj Electricals Limited","EQ","Fv Split Rs.10 To Rs.2","2","28-Jan-2010","29-Jan-2010","-","-"
"HCLTECH","HCL Technologies Limited","EQ","2nd Int Div-Re.1/- Per Shpurpose Revised","2","29-Jan-2010","01-Feb-2010","-","-"
"SUNCLAYTON","Sundaram Clayton Limited","EQ","Int Div-Re.0.50 Per Sharepurpose Revised","5","29-Jan-2010","01-Feb-2010","-","-"
"PATELENG","Patel Engineering Limited","EQ","Interim Div-Rs.2/- Per Shpurpose Revised","1","29-Jan-2010","01-Feb-2010","-","-"
"TATAINVEST","Tata Investment Corporation Limited","EQ","Int Div-Rs.15 Per Share","1","01-Feb-2010","02-Feb-2010","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","3rd Int Div-Re.1/- Pr Shrpurpose Revised","1","01-Feb-2010","02-Feb-2010","-","-"
"CONCOR","Container Corporation of India Limited","EQ","Int Div-Rs.6/- Per Share","5","01-Feb-2010","02-Feb-2010","-","-"
"SAIL","Steel Authority of India Limited","EQ","Int Div-Rs.1.60 Per Sharepurpose Revised","10","01-Feb-2010","02-Feb-2010","-","-"
"SHREEASHTA","Shree Ashtavinayak Cine Vision Limited","EQ","Bonus 4:1","1","01-Feb-2010","02-Feb-2010","-","-"
"COROMANDEL","Coromandel International Limited","EQ","Int Div-Rs.6/- Per Share","1","02-Feb-2010","03-Feb-2010","-","-"
"HGM","HandsOn Global Management (HGM) Limited","EQ","Int Div-Rs.2/- Per Share Purpose Revised","10","02-Feb-2010","03-Feb-2010","-","-"
"HCL-INSYS","HCL Infosystems Limited","EQ","2nd Int Div-Rs.2/- Per Shpurpose Revised","2","02-Feb-2010","03-Feb-2010","-","-"
"RANEHOLDIN","Rane Holdings Limited","EQ","Int Div-Rs.6/- Per Share Purpose Revised","10","02-Feb-2010","03-Feb-2010","-","-"
"DHAMPURSUG","Dhampur Sugar Mills Limited","EQ","Agm/Div-Rs.1.50 Per Sharebc Dates Revised","10","02-Feb-2010","-","04-Feb-2010","10-Feb-2010"
"GLOBOFFS","Global Offshore Services Limited","EQ","2nd Int Div-Re.0.80 Pr Sh","10","03-Feb-2010","04-Feb-2010","-","-"
"KIRLOSOIL","Kirloskar Oil Engines Limited","EQ","Int Div-Rs.1.50 Per Share","2","03-Feb-2010","04-Feb-2010","-","-"
"AARTIIND","Aarti Industries Limited","EQ","Int Div-Rs.1.80 Per Sharepurpose Revised","5","03-Feb-2010","04-Feb-2010","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Int Div-Rs.2.50 Per Sharepurpose Revised","2","03-Feb-2010","04-Feb-2010","-","-"
"BEL","Bharat Electronics Limited","EQ","Int Div-Rs.6/- Per Share Purpose Revised","1","03-Feb-2010","04-Feb-2010","-","-"
"EDELWEISS","Edelweiss Financial Services Limited","EQ","Int Div-Rs.2/- Per Share","1","03-Feb-2010","04-Feb-2010","-","-"
"TCI","Transport Corporation of India Limited","EQ","Int Div-Re.0.40 Per Share","2","03-Feb-2010","04-Feb-2010","-","-"
"HINDUJAFO","Hinduja Foundries Limited","EQ","Rights 7:13 @Prem Rs.40/-","10","03-Feb-2010","04-Feb-2010","-","-"
"PFC","Power Finance Corporation Limited","EQ","Int Div-Rs.3/- Per Share Purpose Revised","10","03-Feb-2010","04-Feb-2010","-","-"
"PAGEIND","Page Industries Limited","EQ","4th Int Div-Rs.6/- Per Shpurpose Revised","10","03-Feb-2010","04-Feb-2010","-","-"
"KEMROCK","Kemrock Industries and Exports Limited","EQ","Int Div-Re.1/- Per Share Purpose Revised","10","04-Feb-2010","05-Feb-2010","-","-"
"DYNAMATECH","Dynamatic Technologies Limited","EQ","2nd Int Div-Rs.2.50 Pr Shpurpose Revised","10","04-Feb-2010","05-Feb-2010","-","-"
"DCHL","Deccan Chronicle Holdings Limited","EQ","3rd Int Div-Re.1/- Pr Shrpurpose Revised","2","04-Feb-2010","05-Feb-2010","-","-"
"PRECWIRE","Precision Wires India Limited","EQ","Int Div-Rs.2.40 Per Sharepurpose Revised","1","04-Feb-2010","05-Feb-2010","-","-"
"EIDPARRY","EID Parry India Limited","EQ","Int Div-Rs.6/- Per Share Purpose Revised","1","04-Feb-2010","05-Feb-2010","-","-"
"EDUCOMP","Educomp Solutions Limited","EQ","Int Div-Re.1/- Per Share Purpose Revised","2","04-Feb-2010","06-Feb-2010","-","-"
"PNB","Punjab National Bank","EQ","Int Div-Rs.10/- Per Share","2","04-Feb-2010","06-Feb-2010","-","-"
"VIPIND","VIP Industries Limited","EQ","Int Div-Rs.2/- Per Share","2","04-Feb-2010","05-Feb-2010","-","-"
"NMDC","NMDC Limited","EQ","Int Div-Re.0.75 Per Share","1","04-Feb-2010","05-Feb-2010","-","-"
"POLARIS","POLARIS CONSULTING & SERVICES LIMITED","EQ","Int Div-Rs.1.75 Per Share","5","04-Feb-2010","05-Feb-2010","-","-"
"CGPOWER","CG Power and Industrial Solutions Limited","EQ","2nd Int Div-Rs.1.40 Pr Shpurpose Revised","2","04-Feb-2010","05-Feb-2010","-","-"
"KCP","KCP Limited","EQ","3rd Int Div-Rs.2.50 Pr Shpurpose Revised","1","04-Feb-2010","05-Feb-2010","-","-"
"NILKAMAL","Nilkamal Limited","EQ","Int Div-Rs.2/- Per Share","10","04-Feb-2010","05-Feb-2010","-","-"
"GFLLIMITED","GFL Limited","EQ","2nd Int Div-Re.1/- Per Sh","1","05-Feb-2010","08-Feb-2010","-","-"
"NATCOPHARM","Natco Pharma Limited","EQ","Int Div-Rs.2/- Per Share","2","05-Feb-2010","08-Feb-2010","-","-"
"SBIN","State Bank of India","EQ","Int Div-Rs.10/- Per Share","1","05-Feb-2010","-","09-Feb-2010","13-Feb-2010"
"AUROPHARMA","Aurobindo Pharma Limited","EQ","Int Div-Rs.3/- Per Share Purpose Revised","1","05-Feb-2010","08-Feb-2010","-","-"
"HAVELLS","Havells India Limited","EQ","Int Div-Rs.1.25 Per Share","1","09-Feb-2010","10-Feb-2010","-","-"
"GREAVESCOT","Greaves Cotton Limited","EQ","2nd Int Div-Rs.1.50 Pr Sh","2","09-Feb-2010","10-Feb-2010","-","-"
"SUNDRMFAST","Sundram Fasteners Limited","EQ","Int Div-Re.0.40 Per Share","1","09-Feb-2010","10-Feb-2010","-","-"
"AMRUTANJAN","Amrutanjan Health Care Limited","EQ","Int Div-Rs.5/- Per Share","1","09-Feb-2010","10-Feb-2010","-","-"
"SUPRAJIT","Suprajit Engineering Limited","EQ","Div- Int Re.1+Spl Rs.1.25","1","09-Feb-2010","10-Feb-2010","-","-"
"63MOONS","63 moons technologies limited","EQ","3rd Int Div-Rs.2/- Pr Shr","2","09-Feb-2010","10-Feb-2010","-","-"
"GAEL","Gujarat Ambuja Exports Limited","EQ","Int Div-Re.0.40 Per Share","1","09-Feb-2010","10-Feb-2010","-","-"
"GEODESIC","Geodesic Limited","EQ","Int Div-Re.0.75 Per Share","2","09-Feb-2010","10-Feb-2010","-","-"
"SMLMAH","SML Mahindra Limited","EQ","Rights 19:50@Prem Rs.190","10","09-Feb-2010","10-Feb-2010","-","-"
"BHEL","Bharat Heavy Electricals Limited","EQ","Int Div-Rs.11/- Per Share","2","09-Feb-2010","10-Feb-2010","-","-"
"SUNDARMFIN","Sundaram Finance Limited","EQ","Int Div-Rs.6/- Per Share Purpose Revised","10","09-Feb-2010","10-Feb-2010","-","-"
"OIL","Oil India Limited","EQ","Int Div-Rs.18/- Per Share","10","10-Feb-2010","11-Feb-2010","-","-"
"MPHASIS","MphasiS Limited","EQ","Dividend-Rs.3.50 Pr Share","10","10-Feb-2010","-","13-Feb-2010","24-Feb-2010"
