"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SIMBHSUGAR","Simbhaoli Sugars Limited","EQ","Annual General Meeting","10","03-Jan-2011","-","05-Jan-2011","10-Jan-2011"
"OIL","Oil India Limited","EQ","Interim Dividend-Rs.18/- Per Share","10","03-Jan-2011","04-Jan-2011","-","-"
"INDNIPPON","India Nippon Electricals Limited","EQ","Interim Dividend-Rs.5/- Per Share (Purpose Revised)","5","04-Jan-2011","05-Jan-2011","-","-"
"TATACOFFEE","Tata Coffee Limited","EQ","Interim Dividend-Rs.5/- Per Share","1","06-Jan-2011","07-Jan-2011","-","-"
"ESABINDIA","Esab India Limited","EQ","2nd Interim Dividend Rs.10/- Per Share (Purpose Revised)","10","06-Jan-2011","07-Jan-2011","-","-"
"DIGJAM","Digjam Limited","EQ","Annual General Meeting (Bc Date Revised)","10","07-Jan-2011","-","11-Jan-2011","18-Jan-2011"
"NELCO","NELCO Limited","EQ","Annual General Meeting/Final Dividend Re.1/- Per Share/Special Dividend Re.1/- Per Share","10","07-Jan-2011","-","11-Jan-2011","14-Jan-2011"
"TULSI","Tulsi Extrusions Limited","EQ","Bonus 1:10 (Record Date Revised)","10","07-Jan-2011","10-Jan-2011","-","-"
"SUJANATOW","Sujana Tower Limited","EQ","Face Value Split From Rs.5/- To Re.1/-","1","10-Jan-2011","11-Jan-2011","-","-"
"SHOPERSTOP","Shoppers Stop Limited","EQ","Face Value Split From Rs.10/- To Rs.5/-","5","12-Jan-2011","13-Jan-2011","-","-"
"GLOBOFFS","Global Offshore Services Limited","EQ","2nd Interim Dividend-Re.0.70 Per Share","10","12-Jan-2011","13-Jan-2011","-","-"
"JYOTISTRUC","Jyoti Structures Limited","EQ","Rights Issue - 1 Ncd (Issue Price Rs.120/- Per Ncd) With 2 Detachable Warrants (Exercise Price Rs.120/- Per Warrant) For Every 8 Equity Shares","2","13-Jan-2011","15-Jan-2011","-","-"
"AUTOAXLES","Automotive Axles Limited","EQ","Dividend-Rs.8.50 Per Share","10","17-Jan-2011","-","19-Jan-2011","21-Jan-2011"
"SAIL","Steel Authority of India Limited","EQ","Interim Dividend-Rs.1.20 Per Share (Purpose Revised)","10","18-Jan-2011","19-Jan-2011","-","-"
"SIEMENS","Siemens Limited","EQ","Dividend-Rs.5/- Per Share","2","18-Jan-2011","-","20-Jan-2011","28-Jan-2011"
"IOLN","IOL Netcom Limited","EQ","Annual General Meeting","10","20-Jan-2011","-","24-Jan-2011","31-Jan-2011"
"HEXAWARE","Hexaware Technologies Limited","EQ","Special Interim Dividend-Re.1/- Per Share","2","20-Jan-2011","21-Jan-2011","-","-"
"NEXTMEDIA","Next Mediaworks Limited","EQ","Scheme Of Arrangement","10","20-Jan-2011","21-Jan-2011","-","-"
"WYETH","Wyeth Limited","EQ","Interim Dividend-Rs.15/- Per Share","10","20-Jan-2011","21-Jan-2011","-","-"
"PFIZER","Pfizer Limited","EQ","Interim Dividend-Rs.12.50 Per Share","10","20-Jan-2011","21-Jan-2011","-","-"
"COROMANDEL","Coromandel International Limited","EQ","Interim Dividend-Rs.4/- Per Share","1","21-Jan-2011","24-Jan-2011","-","-"
"PFC","Power Finance Corporation Limited","EQ","Interim Dividend-Rs.3.50 Per Share (Purpose Revised)","10","21-Jan-2011","24-Jan-2011","-","-"
"HCLTECH","HCL Technologies Limited","EQ","2nd Interim Dividend-Rs.2/- Per Share (Purpose Revised)","2","24-Jan-2011","25-Jan-2011","-","-"
"TVSMOTOR","TVS Motor Company Limited","EQ","Interim Dividend-Re.0.50 Per Share (Purpose Revised)","1","25-Jan-2011","27-Jan-2011","-","-"
"NELCAST","Nelcast Limited","EQ","Special Dividend-Rs.12/- Per Share (Purpose Revised)","2","25-Jan-2011","27-Jan-2011","-","-"
"WIPRO","Wipro Limited","EQ","Interim Dividend-Rs.2/- Per Share (Purpose Revised)","2","27-Jan-2011","28-Jan-2011","-","-"
"TCS","Tata Consultancy Services Limited","EQ","3rd Interim Dividend-Rs.2/- Per Share","1","27-Jan-2011","28-Jan-2011","-","-"
"HINDMOTOR","Hindustan Motors Limited","EQ","Capital Reduction","10","27-Jan-2011","28-Jan-2011","-","-"
"TCI","Transport Corporation of India Limited","EQ","Interim Dividend-Re.0.40 Per Share (Purpose Revised)","2","28-Jan-2011","31-Jan-2011","-","-"
"MRF","MRF Limited","EQ","Annual General Meeting/Final Dividend Rs.19/- Per Share/Special Dividend Rs.25/- Per Share","10","28-Jan-2011","-","01-Feb-2011","10-Feb-2011"
"ARE&M","Amara Raja Energy & Mobility Limited","EQ","Special Dividend-Rs.2/- Per Share (Purpose Revised)","1","28-Jan-2011","31-Jan-2011","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","3rd Interim Dividend-Re.1/- Per Share (Purpose Revised)","1","28-Jan-2011","31-Jan-2011","-","-"
"CONCOR","Container Corporation of India Limited","EQ","Interim Dividend-Rs.7.50 Per Share","5","28-Jan-2011","31-Jan-2011","-","-"
"PERSISTENT","Persistent Systems Limited","EQ","Interim Dividend Rs.2/- Per Share And Special Dividend Rs.2/- Per Share","5","31-Jan-2011","-","02-Feb-2011","02-Feb-2011"
"IPCALAB","IPCA Laboratories Limited","EQ","2nd Interim Dividend-Re.1/- Per Share (Purpose Revised)","1","01-Feb-2011","02-Feb-2011","-","-"
"KCP","KCP Limited","EQ","3rd Interim Dividend-Re.0.25 Per Share (Purpose Revised)","1","01-Feb-2011","02-Feb-2011","-","-"
"HGM","HandsOn Global Management (HGM) Limited","EQ","3rd Interim Dividend-Rs.2/- Per Share (Purpose Revised)","10","01-Feb-2011","02-Feb-2011","-","-"
"VIPIND","VIP Industries Limited","EQ","Interim Dividend-Rs.3/- Per Share (Purpose Revised)","2","01-Feb-2011","02-Feb-2011","-","-"
"RML","Rane (Madras) Limited","EQ","Interim Dividend-Rs.4.50 Per Share","10","02-Feb-2011","03-Feb-2011","-","-"
"SUNCLAYTON","Sundaram Clayton Limited","EQ","Interim Dividend-Rs.2.50 Per Share (Purpose Revised)","5","02-Feb-2011","03-Feb-2011","-","-"
"EDELWEISS","Edelweiss Financial Services Limited","EQ","Interim Dividend-Re.0.25 Per Share","1","02-Feb-2011","03-Feb-2011","-","-"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend-Rs.6/- Per Share (Purpose Revised)","1","02-Feb-2011","03-Feb-2011","-","-"
